,Name,Category,Address,Phone Number,Website
0,Starlets Academy,Secondary school,Port Harcourt,0703 519 9394,
1,La Pierre Angulaire High School,Secondary school,Port Harcourt,0703 579 7621,
2,Jephthah Comprehensive Secondary School,Secondary school,"Km4, East-West Road, Rumuome-Ozuoba, Between Rumuokoro and University of Port-Harcourt,Port Harcourt Rivers State,",,http://www.jephthah.net/
3,Cita International School,Secondary school,"1 CITA Close, Rumuogba Housing Estate, Port Harcourt, Rivers State, Nigeria",0909 912 5177,http://www.citainternationalschool.org/
4,Emilio Piazza Memorial School,Secondary school,Port Harcourt,0701 586 6014,
5,Compass Int'l School,Secondary school,"Port Harcourt, Rivers State",0802 306 6071,
6,St Maria Goretti's International Schools,Secondary school,Off East West Road Near Omega House Port-Harcourt Nigeria,0909 999 5841,http://www.smgsphc.com/
7,Redeemer's International Secondary School,Secondary school,Port Harcourt,0806 355 9631,
8,Born Stars Int'l School,Secondary school,Port Harcourt,0803 708 7928,
9,Niger Delta Science School (NDSS),Secondary school,Port Harcourt,,
10,Intelligent Schools,Secondary school,"Port Harcourt, Rivers State",0803 760 9306,
11,Hopespring Foundation School,Secondary school,Port Harcourt,0803 761 0200,http://www.hopespring-fs.com/
12,Brilliant Roses Int´L Schools,Secondary school,Port Harcourt,,
13,Kateville International Schools,Secondary school,Port Harcourt,0810 375 8277,
14,Seed Of Wisdom International School,Secondary school,Port Harcourt,,
15,GREENHILL INTERNATIONAL SCHOOL,Secondary school,"No 18 Chikwe Orlu Road 1, Off NTA Road, Rumuigbo Port Harcourt, Rivers State, Nigeria.",0706 074 0398,http://greenhillintschool.com/
16,Starlets Academy Nigerian-British School(Character First),Secondary school,"Starlets Academy Close, East - West Road, opp. Apara Community School, Port Harcourt",,https://starlets-academy-nigerian-british-schoolcharacter-first.business.site/?utm_source=gmb&utm_medium=referral
17,Eminentville Schools,Secondary school,Port Harcourt,0902 541 2457,http://www.eminentvilleschools.com/
18,Kingdom Heritage Model School,Secondary school,"Port Harcourt, Rivers State",0803 596 2266,
19,Ceplas int'l high school,Secondary school,Port Harcourt,0803 288 8155,
20,Community Secondary School Rumuapara,Secondary school,Port Harcourt,0817 409 2320,"https://www.google.com/search?rlz=1C1JJTC_enNG1041NG1041&tbs=lf:1,lf_ui:2&tbm=lcl&sxsrf=APwXEdcYvgbLqburaOtg6PhbWWTfyv0r6g:1682062496153&q=list+of+schools+in+rivers+state&rflfq=1&num=10&sa=X&ved=2ahUKEwjXx8qMu7r-AhXM1qQKHQ7cDF4QjGp6BAgUEAI#"
21,Tender Choice School,Secondary school,Port Harcourt,,
22,Royal spring academy,Secondary school,"345 Obiwali Road, Port Harcourt",0809 213 6985,https://royal-spring-academy.business.site/?utm_source=gmb&utm_medium=referral
23,Marvel Comprehensive secondary school,Secondary school,Port Harcourt,,
24,Trans Amadi International School,Secondary school,Port Harcourt,0803 342 0693,
